scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
112,687.946391582489,-1.0661182403564453,4.992813273929642e-07,684.5265313982964,0.8183186054229736,2.6893453650700394e-06,0.5945627689361572,4.274225503206253,2.820074200826639e-07
113,653.3040376901627,-1.7018933296203613,4.6730801273042744e-07,684.7716310620308,1.0274972915649414,1.8926417624243186e-06,0.6193969249725342,4.357105731964111,2.7836279059556546e-07
114,653.4224933385849,-1.417813777923584,6.866630428703502e-07,684.4651163220406,0.7736093997955322,2.167233105865307e-06,656.3267688751221,3.111291825771332,3.967652446590364e-07
115,653.2969822883606,-1.7625741958618164,5.425553126769955e-07,684.7340948581696,0.9508171081542969,1.7799594616008108e-06,656.3023633956909,3.4771518111228943,2.9395891942840535e-07
116,653.6059535741806,-1.8226661682128906,6.789103963456e-07,684.8982104063034,0.9509491920471191,2.0114023300266126e-06,656.3570795059204,3.679423838853836,3.6514938983600587e-07
117,653.1819756031036,-1.6887502670288086,5.426934421848273e-07,684.6540705561638,1.2391338348388672,2.6517823243921157e-06,656.4488101005554,3.171879231929779,2.741736864209088e-07
118,653.1247749328613,-1.7187323570251465,5.083204541733721e-07,684.7766853570938,0.9935753345489502,1.654045945542748e-06,656.6375865936279,3.149475872516632,2.808929480124789e-07
119,653.4423620700836,-1.8248605728149414,4.5849986918256036e-07,684.6442463994026,0.67195725440979,1.922206365634338e-06,0.6539649963378906,4.3902976512908936,2.918143593433342e-07
120,687.8922574520111,-1.5038094520568848,4.346821924627875e-07,684.5302817821503,0.9758114814758301,1.9563328805816127e-06,0.6355342864990234,4.421418756246567,3.5221958682996046e-07
121,688.0138311386108,-1.0048727989196777,8.533637583241216e-07,684.7131613492966,1.3600139617919922,2.729678044488537e-06,0.5763928890228271,4.424317121505737,3.209489420896716e-07
