scorer,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000
bodyparts,stimulusLeft,stimulusLeft,stimulusLeft,stimulusRight,stimulusRight,stimulusRight,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
56,4.562847435474396,4.112908318638802,0.0008658241713419557,1.1634349822998047,3.0053324103355408,0.13073238730430603,769.2294616699219,650.1540385484695,1.0,752.2186970710754,640.6809840202332,1.0,761.9601964950562,620.413933724165,1.0
57,179.20543825626373,338.5706193447113,0.002156483940780163,1.1372337341308594,3.068545401096344,0.10808603465557098,777.5134830474854,653.1954391002655,0.9999997615814209,755.2780217528343,648.0049405097961,1.0,762.9675059318542,622.2246112823486,0.9999998807907104
58,178.07685840129852,337.16747999191284,0.0037638703361153603,1.1450154781341553,3.0086631774902344,0.11991868913173676,778.7460045814514,653.4308882951736,0.9999996423721313,756.3268826007843,648.8492655754089,1.0,762.0876212120056,623.1076080799103,1.0
59,177.9490611553192,335.09078311920166,0.36935949325561523,1.0744400024414062,3.0798102021217346,0.11886671930551529,777.3559985160828,652.5422583222389,0.9999998807907104,754.9384604692459,648.6916708946228,1.0,760.9619340896606,622.4740648269653,1.0
60,177.92450308799744,338.45759987831116,0.003232443006709218,1.0064773559570312,3.0209306478500366,0.1360030621290207,775.4381759166718,651.792291328311,1.0,753.0900564193726,648.8970732688904,1.0,758.6059682369232,622.8175842761993,1.0
61,4.704249978065491,4.023658057674766,0.0007264937157742679,1.0536718368530273,2.9602675437927246,0.11605929583311081,774.9355974197388,651.4074947237968,1.0,751.5153214931488,648.2004280090332,1.0,757.2486189603806,621.7831039428711,1.0
62,180.02574005909264,338.0671479701996,0.002381828147917986,1.0175304412841797,2.983781576156616,0.11809030175209045,774.0327041149139,650.7814507484436,1.0,750.0878660678864,647.8275845050812,1.0,756.3786083757877,621.065149307251,1.0
63,4.7863991260528564,3.973706804215908,0.0006546875811181962,1.0439109802246094,2.9761788845062256,0.10748624801635742,772.6558488607407,650.3532249927521,1.0,748.5627035498619,647.2730734348297,1.0,755.3605664372444,620.2010632902384,1.0
64,178.7246607542038,337.23999667167664,0.0744866281747818,1.0058937072753906,2.9002963304519653,0.10099554806947708,771.984593889676,650.3330760002136,1.0,748.3606410324574,647.768675327301,1.0,754.5510343313217,620.9732560515404,1.0
65,4.718124270439148,4.014285363256931,0.0007370566017925739,1.0711133480072021,3.0208587646484375,0.11520377546548843,772.0672390684485,650.2458091974258,1.0,748.7149257063866,648.0215487480164,1.0,754.5543085336685,621.2383635044098,1.0
66,179.36569380760193,337.17049074172974,0.0018529570661485195,1.080763816833496,2.89666748046875,0.12452959269285202,770.6690827608109,650.6825675964355,1.0,748.6883037090302,648.617537021637,1.0,753.6790537834167,622.0578896999359,1.0
67,4.436363130807877,4.152608305215836,0.0009422065922990441,1.071789264678955,3.0513648986816406,0.1654958575963974,770.1779499053955,652.2212487310171,1.0,748.4087122380733,649.9831819534302,0.9999998807907104,752.8145287036896,623.3925557136536,1.0
68,178.0534384250641,333.9954788684845,0.02515656128525734,1.0555481910705566,2.9506540298461914,0.10681991279125214,770.4368008375168,653.1159099340439,1.0,748.5943364501,650.5252161026001,0.9999997615814209,753.3077557086945,624.673656463623,1.0
69,4.5118128657341,3.9688400477170944,0.0007144857663661242,0.8604030609130859,2.832055687904358,0.13720086216926575,771.1853452324867,653.025908946991,1.0,749.6214410066605,650.7377943992615,0.9999996423721313,754.3614691495895,624.5750360488892,1.0
70,4.314821034669876,4.255974054336548,0.0009530235547572374,1.2018156051635742,2.774535298347473,0.14287841320037842,772.9656518101692,653.9145264625549,1.0,750.9703359603882,652.0172813963145,0.9999998807907104,755.39777302742,625.1792540550232,1.0
71,4.7151854038238525,4.095250256359577,0.0005855918861925602,1.0807225704193115,3.0838632583618164,0.06999702751636505,773.1672905683517,653.2787348031998,1.0,751.5030636787415,651.5765142738819,0.9999998807907104,755.8520110398531,624.8438868522644,1.0
72,4.450750797986984,4.226277574896812,0.0007893095607869327,0.975163459777832,2.9723129272460938,0.10503317415714264,773.4365550279617,652.7486135959625,1.0,751.8709492683411,651.0266419649124,0.9999998807907104,756.1516932696104,624.2870764732361,1.0
73,177.11918234825134,336.4818825721741,0.02198808453977108,0.9801025390625,3.0314770340919495,0.08610361814498901,773.6597603559494,652.6434700489044,1.0,751.8174867630005,650.1265294551849,0.9999998807907104,756.2087059020996,623.464494228363,1.0
74,180.21047915518284,333.2268975973129,0.005358788184821606,1.0348777770996094,2.932626247406006,0.0925220176577568,773.6949890851974,653.0156681537628,1.0,751.5542397499084,649.6346173286438,0.9999998807907104,756.11218072474,623.7394704818726,1.0
75,4.549552500247955,4.038430746644735,0.0006070315721444786,1.0450801849365234,2.9531699419021606,0.07906000316143036,773.173914194107,653.2370297908783,1.0,751.3502707481384,649.2603969573975,0.9999998807907104,755.9970484096557,623.693963766098,1.0
76,4.272643059492111,4.06345097720623,0.000790314341429621,0.9570236206054688,2.722695231437683,0.14868426322937012,772.4043222367764,653.368056178093,1.0,750.6808836460114,649.9851922988892,0.9999997615814209,755.6969828307629,623.7496140003204,1.0
77,4.228787302970886,4.177567094564438,0.0011044313432648778,1.08563232421875,2.6689406633377075,0.17511746287345886,772.2785140275955,653.851468205452,1.0,750.2731392383575,649.8288335800171,0.9999996423721313,756.3097729086876,623.9416289329529,1.0
78,179.09734898805618,332.5240687727928,0.0016257409006357193,1.013282299041748,2.787311553955078,0.13223622739315033,771.9533825516701,653.5810340642929,1.0,749.9755121469498,650.1713786125183,0.9999996423721313,755.0588505864143,624.1937007904053,1.0
79,176.75482368469238,327.74706745147705,0.9992333650588989,1634.7078919410706,754.0535005331039,0.9999996423721313,772.7914053797722,654.8453989028931,1.0,749.7784906625748,650.6709189414978,0.9999995231628418,754.8445899486542,624.1012272834778,1.0
80,174.89473056793213,326.04331517219543,0.9999997615814209,1637.220283985138,753.8464603424072,1.0,772.4173731505871,654.2203516960144,1.0,749.7260184288025,650.4473357200623,0.9999995231628418,753.830326795578,624.5792407989502,1.0
81,173.8629651069641,329.2177081108093,0.9999992847442627,1639.9564361572266,752.8618514537811,0.9999995231628418,772.2324777245522,654.6328799724579,0.9999998807907104,750.0775628089905,650.9242506027222,0.9999994039535522,754.5257084369659,625.6740686893463,1.0
82,174.92828941345215,330.56565833091736,0.9999997615814209,1639.9529926776886,750.9193539619446,0.9999984502792358,772.9877955317497,654.5781981945038,0.9999998807907104,750.2235760688782,651.8982785642147,0.9999996423721313,754.4961689710617,625.779648065567,1.0
83,174.81010055541992,331.43042451143265,0.9999997615814209,1640.6557936668396,750.8632621765137,0.9999971389770508,773.0603739023209,655.3402457237244,1.0,750.3497009277344,652.5484873652458,0.9999997615814209,754.8781967163086,626.8784664869308,1.0
84,177.03314661979675,335.3444662094116,0.9999998807907104,1640.9193563461304,751.9442763328552,0.9999985694885254,773.4168677330017,656.0810678005219,1.0,750.6833388805389,653.2957444190979,0.9999998807907104,755.5010423958302,627.9174285754561,1.0
85,176.28938388824463,335.9889416694641,0.9999998807907104,1642.5299310684204,751.236275434494,0.9999915361404419,773.801221370697,655.8677134513855,1.0,750.9619760513306,652.8009206652641,0.9999998807907104,755.5492633879185,626.999982714653,1.0
86,178.65768945217133,338.17026352882385,1.0,1643.5730514526367,749.9996426105499,0.9999886751174927,774.5976936817169,656.2366168498993,1.0,751.853214263916,653.357436299324,1.0,756.2244514077902,627.6369347572327,1.0
87,178.37205159664154,339.00577288866043,1.0,1644.3965139389038,748.9068667888641,0.9999805688858032,775.2219858169556,655.5801339149475,1.0,752.4106559753418,653.1676251888275,1.0,756.9192488789558,627.1609886288643,1.0
88,178.21308600902557,339.28109151124954,1.0,1644.1852378845215,747.7564777880907,0.9999831914901733,775.3135967254639,655.4540321826935,0.9999998807907104,753.3198170661926,652.5038529038429,1.0,757.866981625557,626.7563925981522,1.0
89,178.97088646888733,338.6641426086426,1.0,1646.1218223571777,748.3568868339062,0.9999866485595703,776.3705792427063,655.1449604034424,1.0,754.2270386219025,652.3138905465603,1.0,757.9275032281876,626.943904876709,1.0
90,178.85075402259827,341.5471978187561,1.0,1646.331681728363,748.4798680245876,0.9999814033508301,776.5535054206848,654.5311288833618,0.9999998807907104,754.8627234697342,651.7934192419052,1.0,758.692360162735,626.4885865449905,1.0
91,179.62440079450607,343.02354669570923,1.0,1645.2062950134277,745.5310051441193,0.9999451637268066,776.6812310218811,653.8777194023132,0.9999998807907104,754.8048392534256,651.5357711613178,1.0,759.1908421516418,625.6806917190552,1.0
92,180.00096316367853,342.8253195285797,1.0,1645.3643436431885,746.4680052995682,0.9999481439590454,776.594895362854,653.4748872518539,0.9999998807907104,754.882152557373,651.0855860710144,1.0,759.41130900383,625.3663988113403,1.0
93,179.55569833517075,345.0409779548645,1.0,1646.9319019317627,745.228563785553,0.9999452829360962,776.818088054657,653.3589953184128,0.9999998807907104,755.0916848182678,649.8817257881165,1.0,759.5180735588074,624.7986822128296,1.0
94,180.2777192890644,345.78049635887146,1.0,1647.068362236023,744.3010549545288,0.999946117401123,778.2280111312866,652.575980424881,0.9999992847442627,756.2004763931036,649.241063117981,1.0,760.0440096855164,623.7685372829437,1.0
95,180.7865930199623,345.897323846817,1.0,1646.8385667800903,739.049391746521,0.9999938011169434,779.5754101574421,651.0340253710747,0.9999995231628418,757.7101112604141,648.2856750488281,1.0,762.0785336494446,622.2238872051239,0.9999998807907104
96,181.60990810394287,349.05459904670715,1.0,1646.3479557037354,737.1282739639282,0.9999910593032837,781.0364109277725,650.5997650623322,0.9999995231628418,758.9911859035492,648.1098780632019,1.0,762.8645672798157,620.9714443087578,0.9999998807907104
